"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","199.00","190.25","200.00","189.00","1.12M","4.60%"
"01/19/2023","190.25","194.00","194.00","185.25","222.12K","0.66%"
"01/18/2023","189.00","194.00","194.50","185.00","457.20K","-0.53%"
"01/17/2023","190.00","173.00","195.00","172.00","811.78K","10.47%"
"01/13/2023","172.00","172.00","173.00","170.25","286.40K","-0.58%"
"01/12/2023","173.00","172.00","173.00","169.50","391.53K","0.58%"
"01/11/2023","172.00","171.50","172.00","169.00","206.99K","0.15%"
"01/10/2023","171.75","170.25","174.50","170.00","283.16K","0.73%"
"01/09/2023","170.50","173.50","173.50","168.00","483.19K","-1.73%"
"01/05/2023","173.50","177.75","177.75","170.25","237.61K","-2.53%"
"01/04/2023","178.00","181.00","181.00","177.00","271.45K","-1.93%"
"01/03/2023","181.50","186.25","186.25","181.00","528.52K","-2.02%"
"01/02/2023","185.25","183.50","186.00","183.25","147.23K","1.23%"
"12/30/2022","183.00","181.00","183.25","181.00","665.32K","0.83%"
"12/29/2022","181.50","180.50","183.50","180.00","466.55K","0.69%"
"12/28/2022","180.25","180.00","184.25","180.00","522.10K","0.14%"
"12/27/2022","180.00","180.00","189.00","176.00","422.35K","-1.64%"
"12/23/2022","183.00","190.00","190.00","176.00","1.11M","-4.19%"
"12/22/2022","191.00","196.75","199.50","190.25","1.39M","-3.05%"
"12/21/2022","197.00","205.00","206.00","195.00","2.81M","-3.43%"
"12/20/2022","204.00","206.00","207.00","204.00","1.33M","-0.97%"
"12/19/2022","206.00","208.00","209.00","205.25","880.22K","-0.96%"
"12/16/2022","208.00","206.00","208.75","206.00","831.83K","0.60%"
"12/15/2022","206.75","207.50","209.00","206.50","1.03M","-0.36%"
"12/14/2022","207.50","208.00","208.25","205.75","956.51K","0.48%"
"12/13/2022","206.50","205.00","209.50","204.50","913.17K","0.73%"
"12/12/2022","205.00","205.50","211.00","205.00","1.55M","0.00%"
"12/09/2022","205.00","203.00","205.25","200.00","2.05M","0.99%"
"12/08/2022","203.00","207.00","209.00","202.00","1.18M","-1.81%"
"12/06/2022","206.75","207.75","209.00","201.25","1.41M","-0.48%"
"12/05/2022","207.75","194.50","208.00","194.50","2.15M","6.68%"
"12/02/2022","194.75","196.00","197.00","192.00","1.78M","-0.13%"
"12/01/2022","195.00","195.00","197.50","194.00","1.53M","2.09%"
"11/30/2022","191.00","197.00","197.50","190.00","2.19M","-1.04%"
"11/29/2022","193.00","190.00","194.75","176.25","6.62M","1.85%"
"11/28/2022","189.50","170.00","189.75","168.00","6.36M","13.64%"
"11/25/2022","166.75","147.00","167.00","143.25","4.14M","19.75%"
"11/24/2022","139.25","145.00","145.00","136.00","985.10K","-4.95%"
"11/23/2022","146.50","142.00","149.75","138.00","1.18M","4.46%"
"11/22/2022","140.25","124.75","140.25","124.75","1.17M","11.09%"
"11/21/2022","126.25","123.75","127.00","116.00","844.36K","2.02%"
"11/18/2022","123.75","130.25","133.00","120.00","2.10M","-7.13%"
"11/17/2022","133.25","137.50","137.50","132.00","440.40K","-1.66%"
"11/16/2022","135.50","140.00","140.00","129.00","3.43M","-4.91%"
"11/15/2022","142.50","149.00","155.00","140.00","1.16M","-3.72%"
"11/14/2022","148.00","155.00","156.00","146.50","953.67K","-2.95%"
"11/11/2022","152.50","152.75","157.00","152.50","216.51K","-0.33%"
"11/10/2022","153.00","155.00","157.00","151.00","286.93K","-0.49%"
"11/09/2022","153.75","153.00","157.00","150.00","391.87K","0.49%"
"11/08/2022","153.00","166.00","166.50","150.00","1.52M","-8.11%"
"11/04/2022","166.50","165.00","170.50","162.50","943.00K","0.91%"
